a_lyric;a_music;lyric;title
Homero Expósito;Domingo Federico;Late un corazón, déjalo latir... Miente mi soñar, déjame mentir... Late un corazón porque he de verte nuevamente, miente mi soñar porque regresas lentamente. Late un corazón... me parece verte regresar con el adiós. Y al volver gritarás tu horror, el ayer, el dolor, la nostalgia, pero al fin bajarás la voz y atarás tu ansiedad de distancias. Y sabrás por qué late un corazón al decir... ¡Qué feliz!... Y un compás, y un compás de amor unirá para siempre el adiós. Ya verás, amor, qué feliz serás... ¿Oyes el compás? Es el corazón. Ya verás qué dulces son las horas del regreso, ya verás qué dulces los reproches y los besos. Ya verás, amor, qué felices horas al compás del corazón. ;Al compás del corazón (Late un corazón)
Enrique Cadícamo;José María Aguilar;Todo el mundo está en la estufa, Triste, amargao y sin garufa, neurasténico y cortao... Se acabaron los robustos, si hasta yo, que daba gusto, ¡cuatro kilos he bajao! Hoy no hay guita ni de asalto y el puchero está tan alto que hay que usar el trampolín. Si habrá crisis, bronca y hambre, que el que compra diez de fiambre hoy se morfa hasta el piolín. Hoy se vive de prepo y se duerme apurao. Y la chiva hasta a Cristo se la han afeitao... Hoy se lleva a empeñar al amigo más fiel, nadie invita a morfar... todo el mundo en el riel. Al mundo le falta un tornillo que venga un mecánico... ¿Pa' qué, che viejo? Pa' ver si lo puede arreglar. ¿Qué sucede?... ¡mama mía! Se cayó la estantería o San Pedro abrió el portón. La creación anda a las piñas y de pura arrebatiña apoliya sin colchón. El ladrón es hoy decente a la fuerza se ha hecho gente, va no encuentra a quién robar. Y el honrao se ha vuelto chorro porque en su fiebre de ahorro él se afana por guardar. Al mundo le falta un tornillo, que venga un mecánico. pa' ver si lo puede arreglar. ;Al mundo le falta un tornillo
Mario Battistella;Enrique Delfino;"Declaran la huelga, hay hambre en las casas, es mucho el trabajo y poco el jornal; y en ese entrevero de lucha sangrienta, se venga de un hombre la Ley Patronal. Los viejos no saben que lo condenaron, pues miente, piadosa, su pobre mujer. Quizás un milagro le lleve el indulto y vuelva en su casa la dicha de ayer. Mientras tanto, al pie de la santa Cruz, una anciana desolada llorando implora a Jesús: ""Por tus llagas que son santas, por mi pena y mi dolor, ten piedad de nuestro hijo, ¡Protégelo, Señor¡"" Y el anciano, que no sabe ya rezar, con acento tembloroso también protesta a la par: ""¿Qué mal te hicimos nosotros pa' darnos tanto dolor?"" Y, a su vez, dice la anciana: ""¡Protégelo, Señor!..."" Los pies engrillados, cruzó la planchada. La esposa lo mira, quisiera gritar... Y el pibe inocente que lleva en los brazos le dice llorando: ""¡Yo quiero a papá¡"" Largaron amarras y el último cabo vibró, al desprenderse, en todo su ser. Se pierde de vista la nave maldita y cae desmayada la pobre mujer... ";Al pie de la Santa Cruz
José María Contursi;Joaquín Mora;Ayer al verla pasar me convencí que no es posible volver y comprendí que todo se ha terminado, que somos sombras de aquel pasado. Con cuánta pena miré lo que creí sería mi salvación... ¡Pobre de mí! Y en esa duda terrible de hablarla o no hablarla mis pasos volví... Pobrecita, ¡qué vieja y pálida estaba! Sin brillo sus negros ojos miraban... La vida quiso ensañarse con ella... ¡Pensar que fue tan bella y que hoy el mundo la olvida! Si supiera que yo también he cambiado, que tengo el corazón destrozado, que a veces hasta en matarme he pensado, pues todo, todo, todo ha muerto ya para mí... Después temblando me fui de aquel lugar con unas ansias tan grandes de llorar... Enloquecido de pena, frío en el alma, hielo en las venas... Y anduve, así, sin saber adónde ir, sintiendo risas y burlas junto a mí. . . Y hoy, al saberme perdido, sin fuerzas, vencido, no puedo vivir... ;Al verla pasar
Jorge Luis Borges;Astor Piazzolla;"Tango que he visto bailar contra un ocaso amarillo por quienes eran capaces de otro baile, el del cuchillo. Tango de aquel Maldonado con menos agua que barro, tango silbado al pasar desde el pescante del carro. Despreocupado y zafado, siempre mirabas de frente. Tango que fuiste la dicha de ser hombre y ser valiente. Tango que fuiste feliz, como yo también lo he sido, según me cuenta el recuerdo; el recuerdo fue el olvido. Desde ese ayer, ¡cuántas cosas a los dos nos han pasado! Las partidas y el pesar de amar y no ser amado. Yo habré muerto y seguirás orillando nuestra vida. Buenos Aires no te olvida, tango que fuiste y serás. ";Alguien le dice al tango 
Enrique Santos Discépolo / Luis César Amadori;Enrique Santos Discépolo;"Yo me burlé de vos porque no te entendí ni comprendí tu dolor. Tuve la sensación de que tu canto cruel lo habías robao, bandoneón... Recién comprendo bien la desesperación que te revuelve al gemir ¡Sos una oruga que quiso ser mariposa antes de morir! Fue tu voz, bandoneón, la que me confió el dolor del fracaso que hay en tu gemir; voz que es fondo de la vida oscura y sin perdón, del que soñó volar y arrastra su ilusión llorándola... Igual que vos soñé... Igual que vos viví sin alcanzar mi ambición. Alma de bandoneón -alma que arrastro en mí- voz de desdicha y de amor, te buscaré al morir, te llamaré en mi adiós, para pedirte perdón, y al apretarte en mis brazos, darte en pedazos mi corazón. ";Alma de bandoneón
Juan Andrés Caruso;Roberto Firpo;Peregrino y soñador, cantar quiero mi fantasía y la loca poesía que hay en mi corazón, y lleno de amor y de alegría, volcaré mi canción. Siempre sentí la dulce ilusión, de estar viviendo mi pasión. Si es que vivo lo que sueño, yo sueño todo lo que canto, por eso mi encanto es el amor. Mi pobre alma de bohemio quiere acariciar y como una flor perfumar. Y en mis noches de dolor, a hablar me voy con las estrellas y las cosas más bellas, despierto he de soñar, porque le confío a ellas toda mi sed de amar. Siempre sentí la dulce ilusión, de estar viviendo mi pasión. Yo busco en los ojos celestes y renegridas cabelleras, pasiones sinceras, dulce emoción. Y en mi triste vida errante llena de ilusión, quiero dar todo mi corazón. ;Alma de bohemio
Jacinto Font;Guillermo Cavazza;Milonguera, bullanguera, que la va de alma de loca, la que con su risa alegre, vibrar hace el cabaret, la que lleva la alegría en los ojos y en la boca, la que siempre fue la reina de la farra y del placer. Todo el mundo te conoce de alocada y jaranera, todo el mundo dudaría lo que yo puedo jurar: que te he visto la otra noche parada ante una vidriera contemplando a una muñeca con deseos de llorar. Te pregunté qué tenías y me respondiste: nada... pero advertí al verte tan turbada que era tu intento ocultarme la verdad. La sonrisa que tus labios dibujaban quedó helada y una imprevista lágrima traidora como una perla de tus ojos fue a rodar. Quién creyera, milonguera, vos que siempre te reíste, y que siempre te burlaste de la pena y del dolor, ibas a mostrar la hilacha poniéndote seria y triste ante una pobre muñeca modestita, y sin valor. Yo te guardaré el secreto, no te aflijas, milonguita, por mí nunca sabrá nadie que has dejado de reír, y no vuelvas a mirar a la pobre muñequita que te recuerda una vida que ya no puedes vivir. Ríe siempre, milonguera, bullanguera, casquivana para qué quieres amargar tu vida pensando en esas cosas que no pueden ser. Corre un velo a tu pasado, sé milonga, sé mundana, para que así los hombres no descubran tus amarguras, tus tristezas de mujer. ;Alma de loca
Francisco García Jiménez;Anselmo Aieta;Aún el tiempo no logró llevar su recuerdo, borrar las ternuras que guardan escritas sus cartas marchitas que tantas lecturas con llanto desteñí... ¡Ella sí que me olvidó!... Y hoy frente a su puerta la oigo contenta, percibo sus risas y escucho que a otro le dice las mismas mentiras que a mí... Alma... que en pena vas errando, acércate a su puerta suplícale llorando: Oye... perdona si te pido mendrugos del olvido que alegre te hace ser... ¡Tú me enseñaste a querer y he sabido! Y haberlo aprendido de amores me mata... Y yo que voy aprendiendo hasta a odiarte, tan sólo a olvidarte no puedo aprender. Esa voz que vuelvo a oír, un día fue mía, y hoy de ella es apenas el eco el que alumbra mi pobre alma en pena, que cae moribunda al pie de su balcón... Esa voz que maldecí, hoy oigo que a otro promete la gloria, y cierro los ojos, y es una limosna de amor, que recojo con mi corazón. ;Alma en pena
Héctor Marcó (vals);Diego Centeno;Alma mía, ¿con quién soñás? He venido a turbar tu paz. No me culpes, soy un cantor que ha querido mezclar a tu sueño un verso porteño borracho de amor. Si despiertas, no maldigas llego aquí porque te adoro, porque sufro, porque imploro, porque quiero que me digas, si es verdad que cuando sueñas me acarician tus amores. Mariposa, tus colores me han robado el corazón. Deja el lecho cándida flor que en tu reja ronda el amor. Abre niña tu ventanal que con rayos de luna risueña la noche porteña te quiere besar. Duerme el ave, allá en su nido, solo rondo yo en la calma por saber si tienes alma, oh mujer, que me has vencido. Despierta si estás dormida que por ti, mi dulce dueña, mientras Buenos Aires sueña, yo agonizo en tu balcón. ;Alma mía
Iván Diez;Vicente San Lorenzo;"Cómo recuerdo, barrio querido, aquellos tiempos de mi niñez... Eres el sitio donde he nacido y eres la cuna de mi honradez. Barrio del alma, fue por tus calles donde he gozado mi juventud. Noches de amor viví, con tierno afán soñé y entre tus flores también lloré... ¡Qué triste es recordar! Me duele el corazón... Almagro mío, ¡qué enfermo estoy! Almagro, Almagro de mi vida, tú fuiste el alma de mis sueños... Cuántas noches de luna y de fe, a tu amparo yo supe querer... Almagro, gloria de los guapos, lugar de idilios y poesía, mi cabeza la nieve cubrió; ya se fue mi alegría como un rayo de sol. El tiempo ingrato dobló mi espalda y a mi sonrisa le dio frialdad... Ya soy un viejo, soy una carga, con muchas dudas y soledad. Almagro mío, todo ha pasado; quedan cenizas de lo que fue... Amante espiritual de tu querer sin fin, donde he nacido he de morir. Almagro, dulce hogar, te dejo el corazón como un recuerdo de mi pasión. ";Almagro
Iván Diez (milonga);Edmundo Rivero;"La encontró en el bulín y en otros brazos... Sin embargo, canchero y sin cabrearse, le dijo al gavilán: ""Puede rajarse; el hombre no es culpable en estos casos."" Y al encontarse solo con la mina, pidió las zapatillas y ya listo, le dijo cual si nada hubiera visto: ""Cebame un par de mates, Catalina."" La mina, jaboneada, le hizo caso y el varón, saboreándose un buen faso, la siguió chamuyando de pavadas... Y luego, besuqueándole la frente, con gran tranquilidad, amablemente, le fajó treinta y cuatro puñaladas. ";Amablemente
Alfredo Le Pera;Carlos Gardel;Me persigue implacable su boca que reía, acecha mis insomnios ese recuerdo cruel, mis propios ojos vieron cómo ella le ofrecía el beso de sus labios rojos como un clavel. Un viento de locura atravesó mi mente, deshecho de amargura yo me quise vengar, mis manos se crisparon, mi pecho las contuvo, su boca que reía yo no pude matar. Fue su amor de un día toda mi fortuna, conté mi alegría a los campos y a la luna. Por quererla tanto, por confiar en ella, hoy hay en mi huella sólo llanto y mi dolor. Doliente y abatido mi vieja herida sangra. Bebamos otro trago que yo quiero olvidar, pero estas penas hondas de amor y desengaño como las yerbas malas son duras de arrancar. Del fondo de mi copa su imagen me obsesiona, es como una condena su risa siempre igual, coqueta y despiadada su boca me encadena, se burla hasta la muerte la ingrata en el cristal. ;Amargura
Carmelo Santiago;Carlos Marchisio;"Vago como sombra atormentada bajo el gris de la recova, me contemplo y no soy nada... Soy como mi lancha carbonera que ha quedado recalada, bien atada a la ribera. Yo también atado a mi pasado soy un barco que está anclado y siento en mi carne sus amarras como garfios, como garras. Lloro aquellos días que jamás han de volver; sueño aquellos besos que ya nunca he de tener, soy como mi lancha carbonera que ha quedado en la ribera, ¡sin partir más! Aquellos besos que perdí al presentir que no me amaba, fueron tormentas de dolor llenas de horror. ¡Hoy no soy nada! Yo sólo sé que pené, que caí y que rodé al abismo del fracaso... Yo sólo sé que tu adiós, en la burla del dolor, me acompaña paso a paso. Ahora que sé que no vendrás, vago sin fin por la recova, busco valor para partir; para alejarme... y así matando mi obsesión, lejos de ti, poder morir. Pero vivo atado a mi pasado, tu recuerdo me encadena, soy un barco que está anclado. Sé que únicamente con la muerte cesarán mis amarguras; cambiará mi mala suerte. Vago con la atroz melancolía de una noche gris y fría; y siento en mi carne sus amarras como garfios, como garras. Nada me consuela en esta cruel desolación. Solo voy marchando con mi pobre corazón. Soy como mi lancha carbonera, que ha quedado en la ribera, sin partir más. ";Amarras
Hugo Gutiérrez;Hugo Gutiérrez;En la vida tenemos mil cosas que son grandes, sublimes y hermosas, que ennoblecen y alegran el alma alentándonos el corazón. Pero hay una, sutil y suprema, que nos llega tranquila y serena, es hombría y lealtad, sentimiento y bondad, es sublime, se llama amistad. Amigos que yo quiero escuchen este tango, que lleva entre sus notas un apretón de manos. Fue escrito con el alma pensando en la amistad con lágrimas lo canto por lo que ya no están. Alcemos nuestras copas, aquí en el viejo bar, que mientras haya amigos dan ganas de cantar. La existencia si es negra condena, con amigos parece verbena, sin amigos no vale la pena esta vida llena de dolor. Los amigos igual que poetas tienen hondas ternuras secretas, acerquémonos más a la noble amistad que nos llena de fe y de bondad. ;Amigos que yo quiero
